,team_name,win,side,game_num,0/stats/assists,0/stats/champLevel,0/stats/deaths,0/stats/doubleKills,0/stats/firstBloodAssist,0/stats/firstInhibitorAssist,0/stats/firstTowerAssist,0/stats/goldEarned,0/stats/inhibitorKills,0/stats/item1,0/stats/item2,0/stats/item3,0/stats/item4,0/stats/item5,0/stats/item6,0/stats/kills,0/stats/largestKillingSpree,0/stats/longestTimeSpentLiving,0/stats/magicDamageDealt,0/stats/magicDamageDealtToChampions,0/stats/magicalDamageTaken,0/stats/neutralMinionsKilledEnemyJungle,0/stats/neutralMinionsKilledTeamJungle,0/stats/pentaKills,0/stats/physicalDamageDealt,0/stats/physicalDamageDealtToChampions,0/stats/physicalDamageTaken,0/stats/quadraKills,0/stats/totalDamageDealt,0/stats/totalDamageDealtToChampions,0/stats/totalHeal,0/stats/totalMinionsKilled,0/stats/totalTimeCrowdControlDealt,0/stats/tripleKills,0/stats/trueDamageDealt,0/stats/trueDamageDealtToChampions,0/stats/trueDamageTaken,0/stats/turretKills,0/stats/visionWardsBoughtInGame,0/stats/wardsKilled,0/stats/wardsPlaced,1/stats/assists,1/stats/champLevel,1/stats/deaths,1/stats/doubleKills,1/stats/firstBloodAssist,1/stats/firstInhibitorAssist,1/stats/firstTowerAssist,1/stats/goldEarned,1/stats/inhibitorKills,1/stats/item1,1/stats/item2,1/stats/item3,1/stats/item4,1/stats/item5,1/stats/item6,1/stats/kills,1/stats/largestKillingSpree,1/stats/longestTimeSpentLiving,1/stats/magicDamageDealt,1/stats/magicDamageDealtToChampions,1/stats/magicalDamageTaken,1/stats/neutralMinionsKilledEnemyJungle,1/stats/neutralMinionsKilledTeamJungle,1/stats/pentaKills,1/stats/physicalDamageDealt,1/stats/physicalDamageDealtToChampions,1/stats/physicalDamageTaken,1/stats/quadraKills,1/stats/totalDamageDealt,1/stats/totalDamageDealtToChampions,1/stats/totalHeal,1/stats/totalMinionsKilled,1/stats/totalTimeCrowdControlDealt,1/stats/tripleKills,1/stats/trueDamageDealt,1/stats/trueDamageDealtToChampions,1/stats/trueDamageTaken,1/stats/turretKills,1/stats/visionWardsBoughtInGame,1/stats/wardsKilled,1/stats/wardsPlaced,2/stats/assists,2/stats/champLevel,2/stats/deaths,2/stats/doubleKills,2/stats/firstBloodAssist,2/stats/firstInhibitorAssist,2/stats/firstTowerAssist,2/stats/goldEarned,2/stats/inhibitorKills,2/stats/item1,2/stats/item2,2/stats/item3,2/stats/item4,2/stats/item5,2/stats/item6,2/stats/kills,2/stats/largestKillingSpree,2/stats/longestTimeSpentLiving,2/stats/magicDamageDealt,2/stats/magicDamageDealtToChampions,2/stats/magicalDamageTaken,2/stats/neutralMinionsKilledEnemyJungle,2/stats/neutralMinionsKilledTeamJungle,2/stats/pentaKills,2/stats/physicalDamageDealt,2/stats/physicalDamageDealtToChampions,2/stats/physicalDamageTaken,2/stats/quadraKills,2/stats/totalDamageDealt,2/stats/totalDamageDealtToChampions,2/stats/totalHeal,2/stats/totalMinionsKilled,2/stats/totalTimeCrowdControlDealt,2/stats/tripleKills,2/stats/trueDamageDealt,2/stats/trueDamageDealtToChampions,2/stats/trueDamageTaken,2/stats/turretKills,2/stats/visionWardsBoughtInGame,2/stats/wardsKilled,2/stats/wardsPlaced,3/stats/assists,3/stats/champLevel,3/stats/deaths,3/stats/doubleKills,3/stats/firstBloodAssist,3/stats/firstInhibitorAssist,3/stats/firstTowerAssist,3/stats/goldEarned,3/stats/inhibitorKills,3/stats/item1,3/stats/item2,3/stats/item3,3/stats/item4,3/stats/item5,3/stats/item6,3/stats/kills,3/stats/largestKillingSpree,3/stats/longestTimeSpentLiving,3/stats/magicDamageDealt,3/stats/magicDamageDealtToChampions,3/stats/magicalDamageTaken,3/stats/neutralMinionsKilledEnemyJungle,3/stats/neutralMinionsKilledTeamJungle,3/stats/pentaKills,3/stats/physicalDamageDealt,3/stats/physicalDamageDealtToChampions,3/stats/physicalDamageTaken,3/stats/quadraKills,3/stats/totalDamageDealt,3/stats/totalDamageDealtToChampions,3/stats/totalHeal,3/stats/totalMinionsKilled,3/stats/totalTimeCrowdControlDealt,3/stats/tripleKills,3/stats/trueDamageDealt,3/stats/trueDamageDealtToChampions,3/stats/trueDamageTaken,3/stats/turretKills,3/stats/visionWardsBoughtInGame,3/stats/wardsKilled,3/stats/wardsPlaced,4/stats/assists,4/stats/champLevel,4/stats/deaths,4/stats/doubleKills,4/stats/firstBloodAssist,4/stats/firstInhibitorAssist,4/stats/firstTowerAssist,4/stats/goldEarned,4/stats/inhibitorKills,4/stats/item1,4/stats/item2,4/stats/item3,4/stats/item4,4/stats/item5,4/stats/item6,4/stats/kills,4/stats/largestKillingSpree,4/stats/longestTimeSpentLiving,4/stats/magicDamageDealt,4/stats/magicDamageDealtToChampions,4/stats/magicalDamageTaken,4/stats/neutralMinionsKilledEnemyJungle,4/stats/neutralMinionsKilledTeamJungle,4/stats/pentaKills,4/stats/physicalDamageDealt,4/stats/physicalDamageDealtToChampions,4/stats/physicalDamageTaken,4/stats/quadraKills,4/stats/totalDamageDealt,4/stats/totalDamageDealtToChampions,4/stats/totalHeal,4/stats/totalMinionsKilled,4/stats/totalTimeCrowdControlDealt,4/stats/tripleKills,4/stats/trueDamageDealt,4/stats/trueDamageDealtToChampions,4/stats/trueDamageTaken,4/stats/turretKills,4/stats/visionWardsBoughtInGame,4/stats/wardsKilled,4/stats/wardsPlaced,baronKills,dragonKills,firstBaron,firstBlood,firstDragon,firstInhibitor,firstRiftHerald,firstTower,inhibitorKills,towerKills
0,IE,1,0,1,5,15,0,1,False,True,False,11563,0,3742,1056,3158,1056,3027,3340,4,4,0,111456,9479,2387,3,16,0,21153,532,8102,0,133440,10219,5424,148,636,0,830,208,192,2,2,4,14,7,15,2,0,False,True,False,11401,1,3156,1408,0,3009,1036,3364,1,0,666,2624,963,2176,27,53,0,136846,8310,10827,0,155533,9466,4529,75,381,0,16063,192,176,3,3,13,26,4,15,2,1,False,True,False,12794,0,3078,2033,3020,1055,3086,3363,4,2,1534,130482,14440,5549,6,17,0,48479,2947,7239,0,178962,17388,2249,217,1,0,0,0,88,2,2,4,11,5,13,1,1,False,False,True,12073,2,3156,3042,3025,0,0,3363,5,4,1538,28873,8695,3495,2,14,0,100818,12384,4560,0,131371,21736,1714,171,471,1,1680,656,0,1,2,7,16,8,11,2,0,False,True,True,8723,0,3190,2049,0,0,3009,3364,0,0,1358,887,887,7073,0,0,0,11664,1015,8224,0,19551,1903,5433,41,223,0,6998,0,308,1,6,14,35,1,3,True,True,False,True,True,True,3,10
1,MOU,0,1,1,4,14,4,0,False,False,False,8484,0,3047,2033,3102,2043,1029,3363,1,0,555,73778,4649,7596,0,3,0,30041,546,7215,0,103819,5195,373,145,693,0,0,0,472,1,3,4,12,4,12,3,0,False,False,False,7984,0,1408,1031,1306,1028,0,3340,1,0,1347,12259,400,4973,5,72,0,62043,3341,12423,0,83902,3742,3810,19,625,0,9600,0,216,0,6,11,26,4,14,1,0,False,False,False,12039,0,1331,3285,3197,1026,1056,3363,2,0,1650,150489,12949,6539,0,7,0,14115,99,3224,0,164813,13153,2669,263,127,0,208,104,0,0,1,0,16,1,13,2,0,False,False,False,9977,0,1038,3153,1053,1055,3085,3363,3,3,1641,676,149,7638,1,14,0,113434,7671,7914,0,115182,8480,3630,200,449,0,1072,660,0,0,3,7,11,5,10,4,0,False,False,False,6423,0,3190,3009,2049,0,3302,3364,0,0,671,5302,1748,8016,0,2,0,3877,248,11133,0,11563,1996,7224,29,88,0,2384,0,368,0,7,8,31,0,1,False,False,True,False,False,False,0,2
0,MOU,0,0,2,7,15,6,0,False,False,False,11832,0,3102,3082,3068,3211,3047,3363,1,0,722,67485,8914,12837,0,0,0,26905,2183,19692,0,97653,11098,3906,191,160,0,3262,0,188,0,6,2,19,4,15,5,0,False,False,False,11801,0,1306,3053,3742,2043,3211,3363,2,0,1338,20752,2980,10213,14,84,0,117688,7809,29909,0,159091,12511,15329,40,727,0,20650,1721,134,1,4,9,20,3,16,3,0,False,True,False,16242,0,3157,3089,1331,1058,3135,3363,7,6,823,174699,19961,7587,3,15,0,19021,698,3494,0,194230,21170,1525,263,640,0,510,510,0,3,1,6,19,5,16,3,0,False,False,False,15143,1,1033,3094,3072,3158,3036,3363,3,2,1548,13613,1359,6311,4,21,0,214418,18397,7332,0,229311,20125,2784,282,182,0,1280,368,93,2,1,7,16,10,13,2,0,False,True,False,10007,0,3092,3190,2049,3028,3114,3364,0,0,733,7430,2043,5816,0,0,0,4189,861,4326,0,12146,3430,5039,17,164,0,526,526,0,0,8,8,46,1,2,True,False,True,True,True,False,1,7
1,IE,1,1,2,12,16,3,1,False,False,True,12773,0,2033,3065,3001,3009,3025,3340,4,3,1361,87990,14803,9502,0,1,0,43691,4100,11392,0,131851,19073,1462,193,1169,0,168,168,712,0,1,4,16,12,17,2,1,False,False,True,14315,1,3036,1408,0,3156,3094,3364,6,5,1099,9463,1896,5314,11,70,0,195032,17083,12808,0,221530,19120,6015,138,378,0,17035,140,742,3,4,16,31,13,17,2,0,False,False,True,14647,0,3092,3285,3158,1056,3135,3363,3,2,972,182054,19936,5447,0,12,0,24508,716,3971,0,206562,20652,1489,261,470,0,0,0,592,2,1,3,15,12,15,3,1,False,False,False,13955,0,3085,3153,1055,3072,1033,3363,6,5,1363,3134,1460,5758,5,13,0,176874,19796,14053,0,181375,21364,5287,225,461,0,1366,106,282,2,1,15,15,16,13,3,0,False,False,True,9174,0,3190,2049,0,1011,3009,3364,0,0,1769,12192,4540,12877,0,0,0,7611,837,14546,0,24360,5377,12256,34,147,0,4556,0,797,0,4,12,33,1,2,False,True,False,False,False,True,1,7
0,CW,0,0,1,3,15,5,0,False,False,False,10992,0,3157,2043,3001,3158,1058,3363,0,0,775,132388,6805,2364,0,7,0,14458,1288,10707,0,146846,8093,1571,241,283,0,0,0,128,1,3,5,16,0,13,2,0,False,False,False,10057,0,1409,3009,3742,3110,0,3364,4,4,1751,68219,8974,7820,13,63,0,23429,1731,14239,0,106692,11326,6894,33,502,0,15043,620,852,0,7,16,24,2,16,2,0,False,False,False,11826,0,3116,1052,1026,3158,3001,3340,1,0,1628,158216,17295,4639,0,21,0,16035,145,8315,0,174251,17441,2703,280,276,0,0,0,0,1,3,4,13,3,15,4,0,False,False,False,11343,0,0,1055,3031,3094,3508,3363,1,0,926,14187,1702,4200,1,21,0,150595,16669,9865,0,166368,19508,1796,240,124,0,1585,1137,0,1,2,7,11,3,11,4,0,False,False,False,7461,0,3009,2049,3190,0,2031,3364,1,0,933,10060,5502,7324,0,0,0,4044,648,13475,0,18354,6568,2192,33,340,0,4249,418,360,0,7,6,42,0,0,False,False,False,False,False,False,0,3
1,MIL,1,1,1,5,17,2,2,False,True,False,13832,0,1011,3025,1323,3065,3068,3363,7,4,648,15531,3418,8651,2,0,0,117365,15626,11025,0,134304,19601,5706,219,3393,0,1408,556,816,2,3,3,15,5,16,1,0,False,False,True,13583,0,3053,1408,3086,2015,3009,3364,4,2,661,5542,780,6087,19,74,0,185288,12881,12593,0,214323,13661,9556,89,524,0,23491,0,277,2,3,15,20,4,16,2,0,False,False,False,13679,0,1026,3158,0,3001,3027,3363,4,3,939,159254,12232,9285,10,26,0,26170,602,5101,0,185872,13154,2357,265,846,0,448,320,112,1,6,5,18,8,16,1,0,False,True,False,13628,0,3140,3508,3009,3094,3031,3363,0,0,921,34634,6042,6077,2,31,0,148727,10960,6824,0,186146,17466,2912,282,591,0,2784,464,168,2,0,8,10,10,13,1,0,False,True,False,9823,0,2303,3060,2043,0,1308,3364,2,2,925,7637,3875,10846,0,0,0,7375,547,11095,0,22028,4422,18201,52,78,0,7015,0,802,1,3,15,28,1,3,True,True,True,True,True,True,2,9
0,MIL,1,0,2,4,16,2,1,False,False,False,12121,0,2033,1305,3025,3071,0,3340,3,2,1477,3124,2133,9173,0,4,0,123909,13441,13927,0,130819,19361,7182,217,292,0,3785,3785,196,4,1,1,11,5,15,2,0,False,False,False,12307,1,3009,1408,3053,1037,0,3364,4,3,1340,4672,444,6976,38,79,0,163577,10822,18538,0,187893,11611,12095,46,523,0,19643,344,184,1,4,15,26,6,16,0,0,False,False,False,11880,0,3165,3158,0,3027,0,3363,0,0,1719,139331,11852,7668,7,9,0,30119,1314,6347,0,171474,13167,1435,252,970,0,2025,0,0,2,5,9,15,4,14,3,0,False,True,False,12034,0,3508,3009,3094,1053,1038,3363,6,5,760,22560,5581,4720,4,14,0,98473,10268,10975,0,123786,16401,2744,168,328,0,2752,552,480,0,0,6,9,10,13,2,0,False,True,False,9572,0,2049,3190,0,3191,3117,3364,2,2,752,18193,9853,6563,0,0,0,5315,1006,8532,0,24193,11472,1506,29,145,0,684,612,402,1,4,15,26,1,3,True,False,True,True,True,False,1,9
1,CW,0,1,2,1,14,2,0,False,False,False,8793,0,2033,3211,3009,3025,3067,3363,0,0,1471,30751,3713,5725,0,6,0,67162,7276,11353,0,97913,10990,1904,198,2068,0,0,0,2444,0,1,3,11,3,13,5,0,False,False,False,8823,0,2031,3158,3027,1052,1026,3363,1,0,1212,87644,8542,6918,17,58,0,15903,430,17708,0,116426,9044,8871,28,492,0,12878,72,1234,0,4,9,27,1,15,1,0,False,False,False,10284,0,3285,1058,1056,3158,1052,3363,2,0,1480,125022,14910,4737,0,8,0,15212,323,6079,0,140234,15234,2849,258,22,0,0,0,145,0,4,3,15,3,14,5,0,False,False,False,10589,0,1055,1037,3031,3094,3009,3363,5,3,753,5201,1508,6414,2,16,0,123736,20091,9302,0,130077,22300,2303,192,110,0,1140,700,847,1,2,7,10,5,11,2,0,False,False,False,6785,0,3009,2049,3105,0,0,3364,1,0,1343,8259,5141,6157,0,0,0,4629,693,12117,0,17202,6324,3037,26,347,0,4312,490,622,0,5,3,36,0,0,False,True,False,False,False,True,0,1
0,HMA,1,0,1,3,17,3,1,False,False,False,15114,0,1038,3512,3075,3009,3068,3340,4,4,683,129955,13783,8388,2,14,0,48569,1929,18092,0,181636,15713,6608,286,175,0,3112,0,0,1,3,6,16,8,16,0,1,False,True,False,12338,0,1412,3094,3155,3009,0,3364,3,3,0,11539,927,5925,10,94,0,147135,11347,16567,0,177588,12494,14476,39,380,1,18913,220,24,1,6,13,12,12,17,0,0,False,True,False,13440,0,2043,3001,3027,1026,3009,3363,0,0,0,169285,15952,4819,3,11,0,23468,758,8849,0,192753,16710,3317,265,413,0,0,0,24,2,3,9,17,4,16,1,1,False,False,False,14819,1,3153,3085,3139,3006,0,3363,4,4,1364,1791,546,3927,1,24,0,200893,14278,9809,0,205476,15144,3440,296,1051,0,2792,320,0,5,1,7,9,4,11,2,0,False,False,False,9477,0,3060,2303,3082,3024,0,3364,1,0,1160,16264,2995,6758,0,0,0,7038,675,12627,0,27294,3671,7036,51,224,0,3991,0,104,0,9,15,47,1,0,True,False,False,True,True,False,1,9
1,IE,0,1,1,1,15,1,0,False,False,True,11084,0,3512,2043,3068,3065,3024,3363,1,0,2020,102642,5496,5543,0,10,0,47101,1429,9029,0,149743,6926,1875,240,1016,0,0,0,0,0,5,4,15,2,15,1,0,False,False,False,11155,0,2031,1408,3156,3035,3053,3364,1,0,2018,4221,426,3962,11,98,0,157080,6660,15503,0,182726,7134,7791,51,657,0,21424,48,138,2,2,14,25,6,15,3,0,False,False,False,11085,0,1026,3157,1056,3158,3027,3363,0,0,1077,136960,16547,8954,3,13,0,14771,1417,9014,0,151732,17964,1782,231,174,0,0,0,0,0,3,2,14,2,15,3,1,False,False,True,13364,0,3508,3094,3158,3072,3035,3363,3,2,934,17786,2627,7527,2,11,0,203925,17956,7362,0,222596,20688,2065,320,111,0,884,104,32,1,1,20,17,4,11,4,0,False,False,False,8072,0,3060,2049,3009,2043,2010,3364,1,0,1099,7202,3370,8255,2,0,0,5943,421,11344,0,20436,3792,2580,31,297,0,7290,0,370,1,6,5,29,0,4,False,True,True,False,False,True,0,4
